cell_id,lon,lat,year,month,time_index,MCI,MCI_shifted,log_MCI,observed,log_MCI_pred_mean,log_MCI_pred_std,MCI_pred_mean,MCI_pred_std,MCI_pred_cv_pct,residual_log
0,121.055475,14.38994,2021,12,11,-0.1145079687499999,0.2732389699999999,-1.29740851870545,True,-1.3040511553218908,0.08141786053990352,-0.11631698097989479,0.022099246448078317,6.243456033732542,0.006642636616440711
0,121.055475,14.38994,2022,1,12,-0.0937149043749999,0.294032034375,-1.2240665571200315,True,-1.2128818083001796,0.024681526103758542,-0.09040776966643443,0.007338784463405895,2.034948989658689,-0.011184748819851986
0,121.055475,14.38994,2022,2,13,-0.1218489143749999,0.265898024375,-1.3246424107156354,True,-1.3150287485560659,0.08828698527423695,-0.11928033364895396,0.023702107211180427,6.713692409476085,-0.009613662159569492
0,121.055475,14.38994,2022,3,14,-0.1041537987499999,0.28359314,-1.2602146736153126,True,-1.249886896728321,0.04094947073894495,-0.10120973542732925,0.01173354682308082,3.2762541031619317,-0.010327776886991602
0,121.055475,14.38994,2022,4,15,-0.1356001724999999,0.25214676625,-1.3777439552491555,True,-1.3717705408511263,0.08213987385185308,-0.1340894878954595,0.02083539101477457,5.987872709446633,-0.005973414398029231
0,121.055475,14.38994,2022,5,16,-0.1170262999999999,0.2707206387499999,-1.306667843118185,True,-1.3041735888564907,0.05980956532851898,-0.11635021107474042,0.016232120313839707,4.586012616691653,-0.002494254261694362
0,121.055475,14.38994,2022,6,17,-0.1214257374999999,0.26632120125,-1.3230521751743236,True,-1.3283463617065625,0.048185188218368,-0.12283196591461293,0.012764977827936966,3.627456633860403,0.005294186532238898
0,121.055475,14.38994,2022,7,18,-0.1687521837499999,0.2189947549999999,-1.518707499224126,True,-1.4651412180201213,0.07149941563063922,-0.15670157734508838,0.016519608324621016,4.880035777524435,-0.05356628120400475
0,121.055475,14.38994,2022,8,19,-0.2379579562499999,0.1497889825,-1.8985277586678944,True,-1.8986001808938129,0.11328290664523742,-0.23796880390872,0.01696730246672249,5.966654158428801,7.242222591852254e-05
0,121.055475,14.38994,2022,9,20,-0.1549095137499999,0.232837425,-1.4574148157361295,True,-1.466875888162237,0.0600286451110272,-0.15710201741885893,0.013845302129247847,4.092278398974407,0.009461072426107497
0,121.055475,14.38994,2022,10,21,-0.1248621387499999,0.2628848,-1.336039365578076,True,-1.3073290433605502,0.06623644592083446,-0.11720524138739108,0.0179197205066892,5.066547420270767,-0.028710322217525786
0,121.055475,14.38994,2022,11,22,-0.1340645731249999,0.253682365625,-1.3716723235629484,True,-1.3793997817444437,0.08893900906691939,-0.13601733832383178,0.02238858121471496,6.447660079693762,0.007727458181495228
0,121.055475,14.38994,2022,12,23,-0.1527424206249999,0.2350045181249999,-1.4481505389589668,True,-1.4476506162738911,0.09925852071224882,-0.15262490716391888,0.02333786504209304,6.856524605897684,-0.0004999226850757044
0,121.055475,14.38994,2023,1,24,-0.14028618625,0.2474607524999999,-1.3965032853054329,True,-1.4186900901142931,0.08866129561222073,-0.14571609080796036,0.021458768556665613,6.249518216136829,0.02218680480886026
0,121.055475,14.38994,2023,2,25,-0.1132648212499999,0.2744821174999999,-1.2928691658741165,True,-1.2874023712441338,0.0538257162674138,-0.1117601748348539,0.014855185248058365,4.180955190831063,-0.005466794629982674
0,121.055475,14.38994,2023,3,26,-0.1112474812499999,0.2764994574999999,-1.285546420046989,True,-1.2812232295491954,0.021984576411442785,-0.11004953381099847,0.006105059818140845,1.7159052305957772,-0.004323190497793616
0,121.055475,14.38994,2023,4,27,-0.1209182812499999,0.2668286574999999,-1.3211485587898752,True,-1.330964815211127,0.024836069793793387,-0.12352472607769277,0.006562241314999939,1.866020011194189,0.009816256421251834
0,121.055475,14.38994,2023,5,28,-0.1522673674999999,0.2354795712499999,-1.4461311155728425,True,-1.4516813926297216,0.054631841830700766,-0.15357072402088956,0.012793477923592974,3.7633493208682074,0.00555027705687916
0,121.055475,14.38994,2023,6,29,-0.1426160406249999,0.245130898125,-1.405962933051892,True,-1.4046781880201884,0.03558577856879949,-0.1423009075320247,0.008734388117513512,2.533375891523991,-0.0012847450317035047
